Date,BTC,ETH,SOL,ADA,DOGE
2022-01-02,,,,,
2022-01-03,,,,,
2022-01-04,,,,,
2022-01-05,,,,,
2022-01-06,,,,,
2022-01-07,,,,,
2022-01-08,,,,,
2022-01-09,,,,,
2022-01-10,,,,,
2022-01-11,,,,,
2022-01-12,,,,,
2022-01-13,,,,,
2022-01-14,,,,,
2022-01-15,,,,,
2022-01-16,,,,,
2022-01-17,,,,,
2022-01-18,,,,,
2022-01-19,,,,,
2022-01-20,,,,,
2022-01-21,,,,,
2022-01-22,,,,,
2022-01-23,,,,,
2022-01-24,,,,,
2022-01-25,,,,,
2022-01-26,,,,,
2022-01-27,,,,,
2022-01-28,,,,,
2022-01-29,,,,,
2022-01-30,,,,,
2022-01-31,0.892384005649688,0.44410262764243064,0.6532665572884647,0.701076138447674,0.9119079271917362
2022-02-01,0.9006919010680587,0.44592184968755405,0.6528950111459295,0.7113553700937137,0.9730613934728283
2022-02-02,0.9065669349458121,0.4600604347825593,0.6573546476319874,0.7161781885100746,0.987721111530306
2022-02-03,0.9121524892222329,0.4613828689998493,0.6579136812843562,0.7143428195529082,0.9884523188563951
2022-02-04,0.9264049168795313,0.5549004060222694,0.6762549631324256,0.7739167536103272,1.0260675544869295
2022-02-05,0.9195553761761136,0.5544088044886684,0.675876784244544,0.7691527368148182,1.0269842276243375
2022-02-06,0.9084100923423449,0.5476715415424228,0.6828905947756612,0.7463232906582606,0.9934630958444285
2022-02-07,0.9166711403148391,0.5556381384189384,0.7129608619192457,0.7449714928751799,0.9850117999062366
2022-02-08,0.9172054795567713,0.5557553955841276,0.7256315192051385,0.74264450953068,0.987820248031335
2022-02-09,0.9100232638566956,0.5557088006612896,0.7073871619574319,0.7467273433020412,0.9846335825637529
2022-02-10,0.9049995415135137,0.5552665947437929,0.6946339801081043,0.7480058922168775,0.9959028082732049
2022-02-11,0.874727321302827,0.5545691644619751,0.6890389396563401,0.7495822178904921,0.9910442841792089
2022-02-12,0.8630664038042125,0.5472401702718205,0.6601039700723412,0.7431277448379516,0.9889983633509819
2022-02-13,0.8495973518425268,0.5460312309956172,0.635532712813836,0.7403913658613711,0.9887752616117929
2022-02-14,0.8496109084521345,0.5467447639809431,0.6348852471651124,0.7424702671293261,0.9960529389539884
2022-02-15,0.8270113021634844,0.5627941730323452,0.639372922062016,0.7818803895647599,1.0353418589710277
2022-02-16,0.7254408776819659,0.5609948342254948,0.634459435365738,0.7738112057262295,1.0284239523368974
2022-02-17,0.7091315794906926,0.6096354563678228,0.6601652497263226,0.8080476848072895,1.0495973077658947
2022-02-18,0.6724395202832945,0.6092083320542143,0.659298119162135,0.811201345720022,1.0484795923429053
2022-02-19,0.6527477984090692,0.6048483591434424,0.6513248589035563,0.8071347440075075,1.040082190085809
2022-02-20,0.5993315995727355,0.5261262461954271,0.6106180548688189,0.6731777185761316,0.9795455933166745
2022-02-21,0.6267353902780122,0.5234892600720925,0.6034473499269899,0.6503611796126796,0.8814868718783778
2022-02-22,0.615687860388932,0.5219965976992514,0.574951558767834,0.6366213822565225,0.8730711529847335
2022-02-23,0.6037607611563828,0.5275043625276209,0.5747567272706269,0.628632454879355,0.8422661176768994
2022-02-24,0.6030828252623996,0.5328294129792978,0.5680727045311834,0.6285040673851129,0.8495636215182176
2022-02-25,0.6152255241055227,0.5362876403663245,0.5763331304432435,0.652313084028847,0.8537342835385086
2022-02-26,0.6099980481501277,0.536188990275575,0.5749562727346904,0.6489231098841952,0.8532338017112594
2022-02-27,0.6143273604349807,0.5451201989875386,0.5823609252362724,0.6594873376720424,0.8647863142931316
2022-02-28,0.7030714592566253,0.6723703330356289,0.6292662958728962,0.7268053826483135,0.9616129807627845
2022-03-01,0.7012160530893847,0.6747391462895034,0.6258529411532401,0.7279472013863213,0.9573428971423978
2022-03-02,0.7022840830760909,0.6754636796269402,0.623713451413757,0.7239198718505646,0.9392240777238838
2022-03-03,0.7000769631864261,0.6845459070553105,0.6269154597146979,0.7265757178235597,0.903891302489804
2022-03-04,0.7084343277472515,0.7127642846275302,0.6371824887586076,0.7544813663616482,0.9056533322576767
2022-03-05,0.708539449665334,0.7128275612822964,0.6405287490170402,0.756457035313123,0.9076084330754437
2022-03-06,0.677994914547516,0.637628717164301,0.6075773548350089,0.6928246202521795,0.8644727632311303
2022-03-07,0.6808355133073567,0.6379197501601425,0.611406720488152,0.6930053975479014,0.8630072952850889
2022-03-08,0.6779755415311743,0.6361452600094946,0.591991512714894,0.6990840942665855,0.8610605900404243
2022-03-09,0.6885765567147253,0.6732361007673685,0.5563746243482183,0.7168296575703137,0.8890854618973891
